x0,y0,z0,x1,y1,z1,x2,y2,z2
-0.969538,0.24352,8.00298e-05,-0.000932407,-0.000864731,0.0600399,0.97051,-0.242615,2.98387e-08
-0.964803,0.247825,0.000883641,-0.0102572,-0.00951113,0.0604328,0.9755,-0.237874,3.57941e-06
-0.959945,0.252097,0.00169337,-0.0195856,-0.018153,0.0608137,0.980371,-0.233104,1.29419e-05
-0.954964,0.256335,0.00250936,-0.0289209,-0.0267861,0.0611827,0.985125,-0.228309,2.7978e-05
-0.949857,0.260536,0.00333174,-0.0382663,-0.0354064,0.0615397,0.989763,-0.223489,4.85503e-05
-0.944622,0.264697,0.00416065,-0.0476251,-0.0440096,0.0618848,0.994288,-0.218647,7.45229e-05
-0.939259,0.268816,0.00499624,-0.0570005,-0.0525916,0.062218,0.9987,-0.213784,0.000105762
-0.933766,0.27289,0.00583864,-0.0663956,-0.0611481,0.0625392,1.003,-0.208902,0.000142137
-0.928141,0.276917,0.00668799,-0.0758136,-0.069675,0.0628485,1.00719,-0.204002,0.000183519
-0.922382,0.280894,0.00754443,-0.0852574,-0.0781679,0.0631458,1.01128,-0.199086,0.00022978
-0.916489,0.284817,0.00840809,-0.0947301,-0.0866225,0.0634311,1.01526,-0.194155,0.000280798
-0.91046,0.288684,0.00927911,-0.104235,-0.0950344,0.0637044,1.01913,-0.18921,0.00033645
-0.904294,0.292491,0.0101576,-0.113774,-0.103399,0.0639658,1.02291,-0.184252,0.000396619
-0.89799,0.296236,0.0110437,-0.12335,-0.111713,0.0642151,1.02658,-0.179283,0.000461189
-0.891546,0.299913,0.0119376,-0.132966,-0.11997,0.0644523,1.03015,-0.174303,0.000530047
-0.884961,0.30352,0.0128393,-0.142625,-0.128167,0.0646776,1.03363,-0.169314,0.000603083
-0.878235,0.307054,0.0137491,-0.152328,-0.136298,0.0648907,1.037,-0.164316,0.00068019
-0.871367,0.31051,0.0146669,-0.162079,-0.144359,0.0650919,1.04029,-0.15931,0.000761265
-0.864356,0.313883,0.0155929,-0.171878,-0.152346,0.0652809,1.04347,-0.154297,0.000846206
-0.857201,0.317171,0.0165272,-0.181729,-0.160253,0.0654579,1.04657,-0.149278,0.000934917
-0.849902,0.320369,0.0174699,-0.191632,-0.168075,0.0656228,1.04957,-0.144254,0.0010273
-0.842459,0.323472,0.0184211,-0.201589,-0.175808,0.0657756,1.05249,-0.139224,0.00112327
-0.834871,0.326477,0.0193808,-0.211602,-0.183447,0.0659164,1.05531,-0.13419,0.00122273
-0.827139,0.329378,0.0203492,-0.221672,-0.190986,0.0660452,1.05805,-0.129152,0.0013256
-0.819263,0.332171,0.0213262,-0.2318,-0.19842,0.066162,1.0607,-0.124111,0.0014318
-0.811243,0.334851,0.022312,-0.241986,-0.205744,0.0662668,1.06327,-0.119067,0.00154124
-0.80308,0.337414,0.0233065,-0.252231,-0.212953,0.0663597,1.06575,-0.11402,0.00165386
-0.794775,0.339854,0.0243098,-0.262535,-0.220042,0.0664407,1.06815,-0.108972,0.00176957
-0.786328,0.342167,0.0253218,-0.272899,-0.227006,0.0665099,1.07047,-0.103921,0.00188831
-0.777741,0.344348,0.0263426,-0.283321,-0.233838,0.0665674,1.0727,-0.0988695,0.00201001
-0.769015,0.346392,0.0273722,-0.293802,-0.240535,0.0666132,1.07486,-0.0938166,0.0021346
-0.760152,0.348293,0.0284105,-0.304341,-0.24709,0.0666475,1.07693,-0.0887628,0.00226203
-0.751155,0.350047,0.0294574,-0.314936,-0.253499,0.0666704,1.07893,-0.0837084,0.00239224
-0.742024,0.351649,0.0305128,-0.325586,-0.259756,0.066682,1.08085,-0.0786536,0.00252516
-0.732764,0.353094,0.0315768,-0.336289,-0.265856,0.0666824,1.08269,-0.0735986,0.00266076
-0.723376,0.354377,0.0326491,-0.347043,-0.271794,0.0666719,1.08446,-0.0685435,0.00279898
-0.713863,0.355494,0.0337297,-0.357847,-0.277565,0.0666506,1.08615,-0.0634886,0.00293977
-0.70423,0.356439,0.0348183,-0.368697,-0.283165,0.0666186,1.08777,-0.0584338,0.00308309
-0.694479,0.357208,0.0359148,-0.37959,-0.288589,0.0665763,1.08931,-0.0533794,0.00322889
