x0,y0,z0,x1,y1,z1,x2,y2,z2
-0.999999,0.0005,0,0,0,0,0.999999,-0.0005,0
-0.999924,0.00549986,0,0,0,0,0.999924,-0.00549986,0
-0.999724,0.010499,0,0,0,0,0.999724,-0.010499,0
-0.999399,0.0154969,0,0,0,0,0.999399,-0.0154969,0
-0.998949,0.0204928,0,0,0,0,0.998949,-0.0204928,0
-0.998374,0.0254862,0,0,0,0,0.998374,-0.0254862,0
-0.997673,0.0304763,0,0,0,0,0.997673,-0.0304763,0
-0.996847,0.0354627,0,0,0,0,0.996847,-0.0354627,0
-0.995895,0.0404445,0,0,0,0,0.995895,-0.0404445,0
-0.994818,0.0454213,0,0,0,0,0.994818,-0.0454213,0
-0.993615,0.0503923,0,0,0,0,0.993615,-0.0503923,0
-0.992285,0.0553569,0,0,0,0,0.992285,-0.0553569,0
-0.99083,0.0603144,0,0,0,0,0.99083,-0.0603144,0
-0.989247,0.0652643,0,0,0,0,0.989247,-0.0652643,0
-0.987538,0.0702057,0,0,0,0,0.987538,-0.0702057,0
-0.985702,0.0751382,0,0,0,0,0.985702,-0.0751382,0
-0.983738,0.0800609,0,0,0,0,0.983738,-0.0800609,0
-0.981646,0.0849732,0,0,0,0,0.981646,-0.0849732,0
-0.979426,0.0898744,0,0,0,0,0.979426,-0.0898744,0
-0.977077,0.0947638,0,0,0,0,0.977077,-0.0947638,0
-0.974599,0.0996406,0,0,0,0,0.974599,-0.0996406,0
-0.971991,0.104504,0,0,0,0,0.971991,-0.104504,0
-0.969254,0.109354,0,0,0,0,0.969254,-0.109354,0
-0.966385,0.114189,0,0,0,0,0.966385,-0.114189,0
-0.963386,0.119008,0,0,0,0,0.963386,-0.119008,0
-0.960255,0.123811,0,0,0,0,0.960255,-0.123811,0
-0.956992,0.128597,0,0,0,0,0.956992,-0.128597,0
-0.953596,0.133366,0,0,0,0,0.953596,-0.133366,0
-0.950066,0.138115,0,0,0,0,0.950066,-0.138115,0
-0.946403,0.142845,0,0,0,0,0.946403,-0.142845,0
-0.942604,0.147555,0,0,0,0,0.942604,-0.147555,0
-0.93867,0.152243,0,0,0,0,0.93867,-0.152243,0
-0.934599,0.15691,0,0,0,0,0.934599,-0.15691,0
-0.930391,0.161553,0,0,0,0,0.930391,-0.161553,0
-0.926045,0.166172,0,0,0,0,0.926045,-0.166172,0
-0.921559,0.170767,0,0,0,0,0.921559,-0.170767,0
-0.916934,0.175335,0,0,0,0,0.916934,-0.175335,0
-0.912168,0.179876,0,0,0,0,0.912168,-0.179876,0
-0.90726,0.18439,0,0,0,0,0.90726,-0.18439,0
-0.90221,0.188874,0,0,0,0,0.90221,-0.188874,0
-0.897015,0.193329,0,0,0,0,0.897015,-0.193329,0
-0.891675,0.197752,0,0,0,0,0.891675,-0.197752,0
-0.886189,0.202142,0,0,0,0,0.886189,-0.202142,0
-0.880555,0.206499,0,0,0,0,0.880555,-0.206499,0
-0.874772,0.210821,0,0,0,0,0.874772,-0.210821,0
-0.86884,0.215107,0,0,0,0,0.86884,-0.215107,0
-0.862756,0.219355,0,0,0,0,0.862756,-0.219355,0
-0.856519,0.223565,0,0,0,0,0.856519,-0.223565,0
-0.850128,0.227734,0,0,0,0,0.850128,-0.227734,0
-0.84358,0.231861,0,0,0,0,0.84358,-0.231861,0
-0.836876,0.235946,0,0,0,0,0.836876,-0.235946,0
-0.830012,0.239985,0,0,0,0,0.830012,-0.239985,0
-0.822987,0.243978,0,0,0,0,0.822987,-0.243978,0
-0.8158,0.247922,0,0,0,0,0.8158,-0.247922,0
-0.808448,0.251817,0,0,0,0,0.808448,-0.251817,0
-0.80093,0.255659,0,0,0,0,0.80093,-0.255659,0
-0.793243,0.259448,0,0,0,0,0.793243,-0.259448,0
-0.785386,0.263181,0,0,0,0,0.785386,-0.263181,0
-0.777356,0.266856,0,0,0,0,0.777356,-0.266856,0
-0.769151,0.270472,0,0,0,0,0.769151,-0.270472,0
-0.760768,0.274024,0,0,0,0,0.760768,-0.274024,0
-0.752206,0.277512,0,0,0,0,0.752206,-0.277512,0
-0.743461,0.280933,0,0,0,0,0.743461,-0.280933,0
-0.734531,0.284284,0,0,0,0,0.734531,-0.284284,0
-0.725413,0.287561,0,0,0,0,0.725413,-0.287561,0
-0.716104,0.290764,0,0,0,0,0.716104,-0.290764,0
-0.706602,0.293887,0,0,0,0,0.706602,-0.293887,0
-0.696902,0.296929,0,0,0,0,0.696902,-0.296929,0
-0.687002,0.299885,0,0,0,0,0.687002,-0.299885,0
-0.676898,0.302752,0,0,0,0,0.676898,-0.302752,0
-0.666586,0.305526,0,0,0,0,0.666586,-0.305526,0
-0.656063,0.308204,0,0,0,0,0.656063,-0.308204,0
-0.645325,0.31078,0,0,0,0,0.645325,-0.31078,0
-0.634367,0.31325,0,0,0,0,0.634367,-0.31325,0
