x,y,potential
-2,-2,-4.35357
-2,-1.98997,-4.33445
-2,-1.97995,-4.31544
-2,-1.96992,-4.29654
-2,-1.9599,-4.27773
-2,-1.94987,-4.25903
-2,-1.93985,-4.24043
-2,-1.92982,-4.22193
-2,-1.9198,-4.20354
-2,-1.90977,-4.18525
-2,-1.89975,-4.16706
-2,-1.88972,-4.14897
-2,-1.8797,-4.13099
-2,-1.86967,-4.11311
-2,-1.85965,-4.09533
-2,-1.84962,-4.07765
-2,-1.8396,-4.06008
-2,-1.82957,-4.04261
-2,-1.81955,-4.02524
-2,-1.80952,-4.00797
-2,-1.7995,-3.99081
-2,-1.78947,-3.97375
-2,-1.77945,-3.95679
-2,-1.76942,-3.93993
-2,-1.7594,-3.92317
-2,-1.74937,-3.90652
-2,-1.73935,-3.88997
-2,-1.72932,-3.87352
-2,-1.7193,-3.85717
-2,-1.70927,-3.84093
-2,-1.69925,-3.82478
-2,-1.68922,-3.80874
-2,-1.6792,-3.7928
-2,-1.66917,-3.77696
-2,-1.65915,-3.76123
-2,-1.64912,-3.74559
-2,-1.6391,-3.73006
-2,-1.62907,-3.71463
-2,-1.61905,-3.6993
-2,-1.60902,-3.68407
-2,-1.599,-3.66895
-2,-1.58897,-3.65392
-2,-1.57895,-3.639
-2,-1.56892,-3.62418
-2,-1.5589,-3.60946
-2,-1.54887,-3.59484
-2,-1.53885,-3.58033
-2,-1.52882,-3.56591
-2,-1.5188,-3.55159
-2,-1.50877,-3.53738
-2,-1.49875,-3.52327
-2,-1.48872,-3.50926
-2,-1.4787,-3.49535
-2,-1.46867,-3.48154
-2,-1.45865,-3.46783
-2,-1.44862,-3.45422
-2,-1.4386,-3.44071
-2,-1.42857,-3.4273
-2,-1.41855,-3.414
-2,-1.40852,-3.40079
-2,-1.3985,-3.38769
-2,-1.38847,-3.37468
-2,-1.37845,-3.36178
-2,-1.36842,-3.34897
-2,-1.3584,-3.33627
-2,-1.34837,-3.32366
-2,-1.33835,-3.31116
-2,-1.32832,-3.29876
-2,-1.3183,-3.28645
-2,-1.30827,-3.27425
-2,-1.29825,-3.26214
-2,-1.28822,-3.25014
-2,-1.2782,-3.23823
-2,-1.26817,-3.22643
-2,-1.25815,-3.21472
-2,-1.24812,-3.20312
-2,-1.2381,-3.19161
-2,-1.22807,-3.1802
-2,-1.21805,-3.16889
-2,-1.20802,-3.15768
-2,-1.19799,-3.14657
-2,-1.18797,-3.13556
-2,-1.17794,-3.12464
-2,-1.16792,-3.11383
-2,-1.15789,-3.10311
-2,-1.14787,-3.0925
