x0,y0,z0,x1,y1,z1,x2,y2,z2
-0.969538,0.24352,0,-0.000932407,-0.000864731,0,0.97047,-0.242655,0
-0.964802,0.247825,0,-0.0102572,-0.00951114,0,0.97506,-0.238314,0
-0.959944,0.252097,0,-0.0195856,-0.018153,0,0.97953,-0.233944,0
-0.954961,0.256334,0,-0.0289208,-0.0267863,0,0.983882,-0.229548,0
-0.949852,0.260534,0,-0.0382661,-0.0354067,0,0.988118,-0.225128,0
-0.944615,0.264695,0,-0.0476247,-0.0440102,0,0.99224,-0.220684,0
-0.939249,0.268813,0,-0.0569997,-0.0525926,0,0.996249,-0.21622,0
-0.933752,0.272886,0,-0.0663943,-0.0611497,0,1.00015,-0.211736,0
-0.928122,0.276911,0,-0.0758116,-0.0696773,0,1.00393,-0.207234,0
-0.922358,0.280886,0,-0.0852546,-0.078171,0,1.00761,-0.202715,0
-0.91646,0.284807,0,-0.0947262,-0.0866266,0,1.01119,-0.19818,0
-0.910424,0.288671,0,-0.104229,-0.0950396,0,1.01465,-0.193632,0
-0.904251,0.292475,0,-0.113767,-0.103406,0,1.01802,-0.18907,0
-0.897938,0.296216,0,-0.123341,-0.11172,0,1.02128,-0.184496,0
-0.891486,0.29989,0,-0.132955,-0.119979,0,1.02444,-0.179911,0
-0.884892,0.303493,0,-0.142611,-0.128177,0,1.0275,-0.175316,0
-0.878156,0.307021,0,-0.152312,-0.13631,0,1.03047,-0.170712,0
-0.871276,0.310472,0,-0.162059,-0.144373,0,1.03334,-0.166099,0
-0.864254,0.313839,0,-0.171854,-0.152361,0,1.03611,-0.161479,0
-0.857086,0.317121,0,-0.1817,-0.160269,0,1.03879,-0.156852,0
-0.849774,0.320312,0,-0.191599,-0.168093,0,1.04137,-0.152219,0
-0.842317,0.323407,0,-0.201551,-0.175827,0,1.04387,-0.14758,0
-0.834715,0.326403,0,-0.211558,-0.183467,0,1.04627,-0.142936,0
-0.826968,0.329295,0,-0.221622,-0.191007,0,1.04859,-0.138288,0
-0.819075,0.332078,0,-0.231742,-0.198442,0,1.05082,-0.133636,0
-0.811038,0.334747,0,-0.241921,-0.205767,0,1.05296,-0.128981,0
-0.802857,0.337299,0,-0.252158,-0.212976,0,1.05502,-0.124322,0
-0.794533,0.339727,0,-0.262453,-0.220066,0,1.05699,-0.119661,0
-0.786067,0.342027,0,-0.272807,-0.227029,0,1.05887,-0.114998,0
-0.77746,0.344193,0,-0.283219,-0.233861,0,1.06068,-0.110332,0
