x0,y0,z0,x1,y1,z1,x2,y2,z2
1,0.000866025,0,-0.50075,0.865592,0,-0.49925,-0.866458,0
0.999965,0.00952617,0,-0.508232,0.861232,0,-0.491733,-0.870758,0
0.999873,0.0181858,0,-0.515686,0.856822,0,-0.484187,-0.875008,0
0.999723,0.0268443,0,-0.523109,0.852363,0,-0.476613,-0.879207,0
0.999515,0.0355013,0,-0.530502,0.847855,0,-0.469012,-0.883356,0
0.999249,0.0441562,0,-0.537865,0.843297,0,-0.461384,-0.887453,0
0.998926,0.0528086,0,-0.545197,0.838691,0,-0.453729,-0.8915,0
0.998545,0.061458,0,-0.552497,0.834037,0,-0.446049,-0.895495,0
0.998107,0.0701038,0,-0.559765,0.829334,0,-0.438342,-0.899438,0
0.997611,0.0787456,0,-0.567001,0.824584,0,-0.43061,-0.90333,0
0.997058,0.0873828,0,-0.574205,0.819786,0,-0.422853,-0.907169,0
0.996447,0.096015,0,-0.581375,0.814941,0,-0.415072,-0.910956,0
0.995779,0.104642,0,-0.588512,0.810049,0,-0.407267,-0.914691,0
0.995054,0.113262,0,-0.595615,0.805111,0,-0.399439,-0.918373,0
0.994271,0.121876,0,-0.602684,0.800126,0,-0.391587,-0.922002,0
0.993432,0.130484,0,-0.609718,0.795095,0,-0.383714,-0.925579,0
0.992535,0.139083,0,-0.616717,0.790019,0,-0.375818,-0.929102,0
0.991581,0.147675,0,-0.623681,0.784897,0,-0.3679,-0.932572,0
0.990571,0.156258,0,-0.630609,0.77973,0,-0.359962,-0.935989,0
0.989504,0.164832,0,-0.637501,0.774519,0,-0.352003,-0.939352,0
0.98838,0.173397,0,-0.644356,0.769264,0,-0.344024,-0.942661,0
0.9872,0.181952,0,-0.651175,0.763964,0,-0.336025,-0.945916,0
0.985963,0.190497,0,-0.657957,0.758621,0,-0.328007,-0.949118,0
0.984671,0.19903,0,-0.664701,0.753234,0,-0.31997,-0.952265,0
0.983322,0.207553,0,-0.671407,0.747805,0,-0.311915,-0.955358,0
0.981917,0.216063,0,-0.678075,0.742333,0,-0.303842,-0.958397,0
0.980456,0.224562,0,-0.684704,0.736819,0,-0.295752,-0.961381,0
0.97894,0.233047,0,-0.691295,0.731264,0,-0.287645,-0.964311,0
0.977369,0.24152,0,-0.697846,0.725666,0,-0.279522,-0.967186,0
0.975742,0.249978,0,-0.704358,0.720028,0,-0.271383,-0.970006,0
0.97406,0.258423,0,-0.71083,0.714349,0,-0.263229,-0.972772,0
0.972323,0.266853,0,-0.717263,0.70863,0,-0.25506,-0.975482,0
0.970531,0.275268,0,-0.723654,0.702871,0,-0.246877,-0.978138,0
0.968685,0.283667,0,-0.730005,0.697072,0,-0.238679,-0.980739,0
0.966784,0.292051,0,-0.736315,0.691234,0,-0.230469,-0.983285,0
0.964829,0.300418,0,-0.742584,0.685357,0,-0.222245,-0.985775,0
0.96282,0.308768,0,-0.748811,0.679442,0,-0.214009,-0.988211,0
0.960757,0.317101,0,-0.754996,0.67349,0,-0.205761,-0.990591,0
0.958641,0.325417,0,-0.76114,0.667499,0,-0.197501,-0.992916,0
0.956472,0.333714,0,-0.767241,0.661472,0,-0.189231,-0.995186,0
0.954249,0.341993,0,-0.773299,0.655407,0,-0.18095,-0.9974,0
0.951973,0.350253,0,-0.779314,0.649307,0,-0.172659,-0.999559,0
0.949645,0.358493,0,-0.785287,0.64317,0,-0.164358,-1.00166,0
0.947264,0.366714,0,-0.791216,0.636998,0,-0.156049,-1.00371,0
0.944831,0.374914,0,-0.797101,0.630791,0,-0.14773,-1.00571,0
0.942347,0.383094,0,-0.802943,0.624549,0,-0.139404,-1.00764,0
0.93981,0.391253,0,-0.80874,0.618273,0,-0.13107,-1.00953,0
0.937222,0.39939,0,-0.814493,0.611963,0,-0.122729,-1.01135,0
0.934583,0.407506,0,-0.820202,0.60562,0,-0.114381,-1.01313,0
0.931893,0.4156,0,-0.825866,0.599243,0,-0.106027,-1.01484,0
0.929153,0.42367,0,-0.831486,0.592835,0,-0.097667,-1.0165,0
0.926362,0.431718,0,-0.83706,0.586393,0,-0.0893018,-1.01811,0
0.92352,0.439743,0,-0.842589,0.579921,0,-0.0809318,-1.01966,0
0.920629,0.447744,0,-0.848072,0.573417,0,-0.0725574,-1.02116,0
0.917689,0.45572,0,-0.85351,0.566882,0,-0.0641792,-1.0226,0
0.914699,0.463673,0,-0.858902,0.560317,0,-0.0557974,-1.02399,0
0.911661,0.4716,0,-0.864248,0.553721,0,-0.0474127,-1.02532,0
0.908573,0.479502,0,-0.869548,0.547096,0,-0.0390255,-1.0266,0
0.905437,0.487379,0,-0.874801,0.540442,0,-0.0306362,-1.02782,0
0.902254,0.49523,0,-0.880008,0.53376,0,-0.0222452,-1.02899,0
0.899022,0.503054,0,-0.885169,0.527049,0,-0.0138531,-1.0301,0
0.895743,0.510852,0,-0.890283,0.52031,0,-0.00546025,-1.03116,0
0.892417,0.518624,0,-0.89535,0.513544,0,0.00293289,-1.03217,0
0.889044,0.526368,0,-0.900369,0.506751,0,0.0113259,-1.03312,0
0.885624,0.534084,0,-0.905342,0.499931,0,0.0197183,-1.03401,0
0.882158,0.541772,0,-0.910268,0.493085,0,0.0281096,-1.03486,0
0.878646,0.549433,0,-0.915146,0.486214,0,0.0364995,-1.03565,0
0.875089,0.557065,0,-0.919977,0.479317,0,0.0448876,-1.03638,0
0.871486,0.564668,0,-0.92476,0.472396,0,0.0532732,-1.03706,0
0.867839,0.572241,0,-0.929495,0.46545,0,0.0616562,-1.03769,0
0.864147,0.579786,0,-0.934183,0.45848,0,0.070036,-1.03827,0
0.86041,0.587301,0,-0.938822,0.451487,0,0.0784121,-1.03879,0
0.85663,0.594785,0,-0.943414,0.444471,0,0.0867843,-1.03926,0
0.852806,0.60224,0,-0.947958,0.437432,0,0.0951521,-1.03967,0
0.848939,0.609664,0,-0.952454,0.430371,0,0.103515,-1.04003,0
0.845029,0.617057,0,-0.956901,0.423288,0,0.111873,-1.04034,0
0.841076,0.624419,0,-0.961301,0.416183,0,0.120225,-1.0406,0
0.837081,0.63175,0,-0.965652,0.409058,0,0.128571,-1.04081,0
0.833044,0.639049,0,-0.969954,0.401913,0,0.13691,-1.04096,0
0.828965,0.646316,0,-0.974209,0.394747,0,0.145243,-1.04106,0
0.824846,0.653551,0,-0.978414,0.387562,0,0.153569,-1.04111,0
0.820685,0.660753,0,-0.982572,0.380358,0,0.161887,-1.04111,0
0.816484,0.667923,0,-0.986681,0.373134,0,0.170197,-1.04106,0
0.812243,0.675061,0,-0.990741,0.365893,0,0.178498,-1.04095,0
0.807962,0.682165,0,-0.994753,0.358633,0,0.186791,-1.0408,0
